City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Coahuayana,MX,18.7333,-103.6833,75.51,66,41,4.14,scattered clouds
1,Yumen,CN,40.2833,97.2,53.42,50,17,17.2,few clouds
2,Albany,US,42.6001,-73.9662,61.45,47,73,9.1,broken clouds
3,Esmeraldas,BR,-19.7625,-44.3139,76.06,66,100,5.77,overcast clouds
4,Mataura,NZ,-46.1927,168.8643,54.48,76,90,12.1,overcast clouds
5,Dingle,PH,10.9995,122.6711,84.61,74,94,11.01,overcast clouds
6,Montevideo,UY,-34.8335,-56.1674,65.91,45,0,11.5,clear sky
7,Saint George,US,37.1041,-113.5841,71.64,12,0,16.11,clear sky
8,Port Hardy,CA,50.6996,-127.4199,45.72,92,100,11.65,light rain
9,Panaba,MX,21.2833,-88.2667,80.11,64,0,15.39,clear sky
10,Ust-Tsilma,RU,65.441,52.1498,31.1,89,100,4.29,overcast clouds
11,Port Alfred,ZA,-33.5906,26.891,57.18,76,100,5.99,overcast clouds
12,Anadyr,RU,64.75,177.4833,30.7,64,0,8.95,clear sky
13,Kodiak,US,57.79,-152.4072,53.11,54,75,8.05,broken clouds
14,Pocone,BR,-16.2567,-56.6228,81.68,63,100,4.83,overcast clouds
15,Atuona,PF,-9.8,-139.0333,79.07,74,24,17.07,few clouds
16,Hilo,US,19.7297,-155.09,83.28,84,100,4.0,overcast clouds
17,Cidreira,BR,-30.1811,-50.2056,68.68,87,0,20.42,clear sky
18,Jamestown,US,42.097,-79.2353,73.04,40,0,5.75,clear sky
19,Araouane,ML,18.9048,-3.5265,76.15,23,0,9.64,clear sky
20,Arraial Do Cabo,BR,-22.9661,-42.0278,75.11,76,100,10.96,overcast clouds
21,Okha,RU,53.5739,142.9478,31.68,73,100,9.01,overcast clouds
22,Dryden,CA,49.7833,-92.7503,34.09,100,100,8.05,overcast clouds
23,Yellowknife,CA,62.456,-114.3525,37.92,52,20,13.8,few clouds
24,Avarua,CK,-21.2078,-159.775,82.45,78,20,5.75,few clouds
25,Amahai,ID,-3.3333,128.9167,85.1,69,100,1.34,overcast clouds
26,Butaritari,KI,3.0707,172.7902,81.36,77,49,10.96,scattered clouds
27,Parry Sound,CA,45.3501,-80.033,57.04,92,100,12.33,overcast clouds
28,Necochea,AR,-38.5473,-58.7368,68.11,44,100,18.59,overcast clouds
29,Inta,RU,66.0317,60.1659,20.1,97,82,6.96,broken clouds
30,Asau,RO,46.4333,26.4,52.72,97,100,4.45,light rain
31,Qaanaaq,GL,77.484,-69.3632,0.66,67,49,6.82,scattered clouds
32,Kruisfontein,ZA,-34.0033,24.7314,52.88,78,100,5.95,overcast clouds
33,Miguel Auza,MX,24.2933,-103.4503,81.86,10,85,12.82,overcast clouds
34,Nemuro,JP,43.3236,145.575,44.47,63,100,15.23,overcast clouds
35,Qorveh,IR,35.1664,47.8045,50.54,60,100,4.74,overcast clouds
36,Badarwas,IN,24.9667,77.5667,81.59,17,0,3.78,clear sky
37,Longyearbyen,SJ,78.2186,15.6401,8.44,61,75,11.5,light snow
38,Hithadhoo,MV,-0.6,73.0833,84.16,73,100,8.08,overcast clouds
39,Severnoye,RU,56.3491,78.3619,35.13,63,25,5.93,scattered clouds
40,Kavieng,PG,-2.5744,150.7967,84.83,69,100,7.52,light rain
41,Sangar,RU,63.9242,127.4739,23.0,87,94,6.87,overcast clouds
42,Svetlogorsk,BY,52.6333,29.7333,47.89,82,100,7.76,overcast clouds
43,Sao Filipe,CV,14.8961,-24.4956,74.1,75,6,3.53,clear sky
44,Mar Del Plata,AR,-38.0023,-57.5575,64.87,70,53,14.0,broken clouds
45,Mareeba,AU,-17.0,145.4333,75.43,94,100,4.52,light rain
46,Gunnedah,AU,-30.9833,150.25,68.72,44,98,10.6,overcast clouds
47,Ushuaia,AR,-54.8,-68.3,36.01,88,60,3.04,broken clouds
48,Punta Arenas,CL,-53.15,-70.9167,41.11,93,100,6.91,light rain
49,Urengoy,RU,65.9667,78.3667,10.36,95,99,5.66,overcast clouds
50,Tautira,PF,-17.7333,-149.15,80.8,70,19,7.29,light rain
51,Provideniya,RU,64.3833,-173.3,35.71,64,0,4.47,clear sky
52,Kidal,ML,18.4411,1.4078,78.87,10,0,10.04,clear sky
53,Verkhoyansk,RU,67.5447,133.385,20.3,84,100,3.27,overcast clouds
54,Saskylakh,RU,71.9167,114.0833,8.55,94,90,2.37,overcast clouds
55,Road Town,VG,18.4167,-64.6167,77.04,73,20,8.05,few clouds
56,Caserta,IT,41.0832,14.3349,57.67,91,38,2.84,scattered clouds
57,Blythe,US,33.6103,-114.5964,84.65,5,0,16.11,clear sky
58,Port Elizabeth,ZA,-33.918,25.5701,57.31,72,100,8.01,overcast clouds
59,Constitucion,CL,-35.3333,-72.4167,54.27,92,87,3.0,overcast clouds
60,Bredasdorp,ZA,-34.5322,20.0403,56.21,75,75,4.94,broken clouds
61,Zyryanka,RU,65.75,150.85,22.39,92,100,16.15,light snow
62,Rikitea,PF,-23.1203,-134.9692,73.36,85,100,13.29,moderate rain
63,Khatanga,RU,71.9667,102.5,0.79,95,88,5.79,overcast clouds
64,Misratah,LY,32.3754,15.0925,62.62,75,100,12.01,overcast clouds
65,Barrow,US,71.2906,-156.7887,19.42,73,75,10.36,broken clouds
66,Bluff,NZ,-46.6,168.3333,54.81,80,91,29.24,overcast clouds
67,Darnah,LY,32.767,22.6367,59.77,82,100,9.04,overcast clouds
68,Lompoc,US,34.6391,-120.4579,79.57,76,0,18.01,clear sky
69,Natitingou,BJ,10.3042,1.3796,79.2,67,72,4.47,broken clouds
70,Flinders,AU,-34.5833,150.8552,65.17,90,100,11.01,overcast clouds
71,Eenhana,NA,-17.4667,16.3333,62.53,48,6,4.03,clear sky
72,Lavrentiya,RU,65.5833,-171.0,27.86,76,51,4.32,broken clouds
73,Mahebourg,MU,-20.4081,57.7,75.25,72,13,16.62,few clouds
74,Pangnirtung,CA,66.1451,-65.7125,21.38,88,100,5.01,overcast clouds
75,Iwanai,JP,42.9744,140.5089,58.64,39,54,4.74,broken clouds
76,Carnarvon,AU,-24.8667,113.6333,75.27,78,51,5.75,broken clouds
77,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,81,38,11.41,scattered clouds
78,Amalapuram,IN,16.5833,82.0167,82.02,84,0,4.05,clear sky
79,Anloga,GH,5.7947,0.8973,81.82,81,100,7.7,overcast clouds
80,Nabire,ID,-3.3667,135.4833,85.26,68,19,2.59,few clouds
81,Faanui,PF,-16.4833,-151.75,81.34,72,29,7.2,light rain
82,Bonthe,SL,7.5264,-12.505,76.14,80,100,10.98,overcast clouds
83,Bairnsdale,AU,-37.8333,147.6167,63.05,76,100,1.01,overcast clouds
84,Champerico,GT,14.3,-91.9167,83.95,67,7,5.88,clear sky
85,Santa Cruz De La Palma,ES,28.6835,-17.7642,66.34,77,75,10.36,broken clouds
86,Zabaykalsk,RU,49.6333,117.3167,38.86,25,100,13.42,light rain
87,Kabinda,CD,-6.1333,24.4833,65.98,96,52,1.74,broken clouds
88,Sao Jose Do Egito,BR,-7.4789,-37.2744,69.46,77,99,7.2,overcast clouds
89,Thatta,PK,24.7475,67.9235,79.92,63,0,16.22,clear sky
90,College,US,64.8569,-147.8028,52.12,33,75,6.91,broken clouds
91,East London,ZA,-33.0153,27.9116,61.83,72,58,15.88,broken clouds
92,Busselton,AU,-33.65,115.3333,68.56,50,100,11.3,light rain
93,Pahrump,US,36.2083,-115.9839,75.25,10,7,8.99,clear sky
94,Tuktoyaktuk,CA,69.4541,-133.0374,32.04,88,100,4.0,overcast clouds
95,Vaini,TO,-21.2,-175.2,78.96,83,75,5.75,broken clouds
96,Mala,PE,-12.6581,-76.6308,68.09,86,32,6.6,scattered clouds
97,Shimoda,JP,34.6667,138.95,69.19,77,75,3.62,broken clouds
98,Lowestoft,GB,52.4752,1.7516,45.95,93,6,15.17,clear sky
99,Hermanus,ZA,-34.4187,19.2345,58.78,72,96,3.56,overcast clouds
