City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Coahuayana,MX,75.51,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
3,Esmeraldas,BR,76.06,overcast clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
5,Dingle,PH,84.61,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
7,Saint George,US,71.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
9,Panaba,MX,80.11,clear sky,21.2833,-88.2667,Hotel California
14,Pocone,BR,81.68,overcast clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
15,Atuona,PF,79.07,few clouds,-9.8,-139.0333,Villa Enata
16,Hilo,US,83.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
18,Jamestown,US,73.04,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
19,Araouane,ML,76.15,clear sky,18.9048,-3.5265,
20,Arraial Do Cabo,BR,75.11,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
24,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
25,Amahai,ID,85.1,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
26,Butaritari,KI,81.36,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
33,Miguel Auza,MX,81.86,overcast clouds,24.2933,-103.4503,Hotel Del Centro
36,Badarwas,IN,81.59,clear sky,24.9667,77.5667,योगराज मोटर्स
38,Hithadhoo,MV,84.16,overcast clouds,-0.6,73.0833,Scoop Guest House
40,Kavieng,PG,84.83,light rain,-2.5744,150.7967,Nusa Island Retreat
43,Sao Filipe,CV,74.1,clear sky,14.8961,-24.4956,Hotel Xaguate
45,Mareeba,AU,75.43,light rain,-17.0,145.4333,Trinity Plains Tourist Park
50,Tautira,PF,80.8,light rain,-17.7333,-149.15,Pension Oaoa
52,Kidal,ML,78.87,clear sky,18.4411,1.4078,
55,Road Town,VG,77.04,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
57,Blythe,US,84.65,clear sky,33.6103,-114.5964,Rodeway Inn & Suites
62,Rikitea,PF,73.36,moderate rain,-23.1203,-134.9692,People ThankYou
68,Lompoc,US,79.57,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
69,Natitingou,BJ,79.2,broken clouds,10.3042,1.3796,Cotonou
73,Mahebourg,MU,75.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
76,Carnarvon,AU,75.27,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
78,Amalapuram,IN,82.02,clear sky,16.5833,82.0167,swayamprabha service apartments
79,Anloga,GH,81.82,overcast clouds,5.7947,0.8973,Pin Drop Hotel
80,Nabire,ID,85.26,few clouds,-3.3667,135.4833,Hotel Nusantara I
81,Faanui,PF,81.34,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
82,Bonthe,SL,76.14,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
84,Champerico,GT,83.95,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
89,Thatta,PK,79.92,clear sky,24.7475,67.9235,We Care Guest House & Shadi lawn
93,Pahrump,US,75.25,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
95,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
105,Edd,ER,87.51,scattered clouds,13.9297,41.6925,
106,Poum,NC,77.58,overcast clouds,-20.2333,164.0167,
107,Vinh,VN,83.55,clear sky,18.6667,105.6667,Vuong Hoan 2
110,Puerto Ayora,EC,72.37,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
112,Jinxiang,CN,72.0,overcast clouds,27.4327,120.6062,Wolong Village
113,Durango,MX,76.33,clear sky,24.8333,-104.8333,
114,Tuyen Quang,VN,78.96,overcast clouds,21.8233,105.2181,Khách Sạn Tuyên Thoa
120,Pochutla,MX,82.81,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
121,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
124,Baracoa,CU,76.35,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
128,Linhares,BR,75.09,clear sky,-19.3911,-40.0722,Hotel Conceição
130,Placido De Castro,BR,74.46,overcast clouds,-10.3353,-67.1856,Hotel Carioca
131,Guilin,CN,74.57,overcast clouds,25.2819,110.2864,Grand 0773 Hotel
132,Hambantota,LK,75.54,broken clouds,6.1241,81.1185,Bungalow 63
135,Benguela,AO,74.12,broken clouds,-12.5763,13.4055,Hotel Praia Morena
140,Totness,SR,78.19,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
141,Saquarema,BR,74.19,overcast clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
143,Kasongo-Lunda,CD,71.26,overcast clouds,-6.4667,16.8167,
148,Hasaki,JP,73.29,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
152,Isangel,VU,79.45,overcast clouds,-19.55,169.2667,Tanna Lodge
153,Ballina,AU,73.58,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
156,Saint-Pierre,RE,74.88,broken clouds,-21.3393,55.4781,Lindsey Hôtel
157,Harper,LR,80.31,moderate rain,4.375,-7.7169,Screensaver
159,Ixtapa,MX,76.23,clear sky,20.7,-105.2,hotel la terminal
160,Cabo San Lucas,MX,78.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
161,Bengkulu,ID,77.59,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
162,Caravelas,BR,76.23,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
169,Gigmoto,PH,83.3,overcast clouds,13.7796,124.39,Cj's Travellers Inn
171,Kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
173,Hirara,JP,78.33,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
175,Moron,AR,70.05,overcast clouds,-34.6534,-58.6198,Hotel Morón
177,San Patricio,US,79.9,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
179,Biak,ID,83.46,clear sky,-0.9131,122.8766,Penginapan Kim
182,Karratha,AU,82.78,light rain,-20.7377,116.8463,ibis Styles Karratha
183,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
184,Vila Do Maio,CV,75.99,clear sky,15.1333,-23.2167,Hotel Marilu
193,Morgan City,US,77.02,scattered clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
195,Sao Felix Do Xingu,BR,72.52,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
197,Owando,CG,71.44,light rain,-0.4819,15.8999,Exaunel Hotel Owando
199,Samarai,PG,84.58,broken clouds,-10.6167,150.6667,Nuli Sapi
204,Les Cayes,HT,76.17,overcast clouds,18.2,-73.75,Villa Orphee
205,Grand Gaube,MU,75.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
206,Fresnillo,MX,81.95,few clouds,23.1667,-102.8833,HOTEL DEL FRESNO
211,Abu Dhabi,AE,78.96,clear sky,24.4667,54.3667,Beach Rotana
217,Meulaboh,ID,79.43,overcast clouds,4.1363,96.1285,Kost Pria
219,Taoudenni,ML,77.32,clear sky,22.6783,-3.9836,
223,Sambava,MG,74.12,light rain,-14.2667,50.1667,Melrose
225,Nizwa,OM,76.23,clear sky,22.9333,57.5333,Orient Apartments
231,Broken Hill,AU,72.25,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
234,Geraldton,AU,72.01,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
237,Varca,IN,80.56,clear sky,15.2167,73.9167,"Taj Exotica Resort & Spa, Goa Benaulim"
239,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
242,Vao,NC,74.64,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
244,Hamilton,US,77.09,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
246,Hobyo,SO,82.78,clear sky,5.3505,48.5268,Iftin hotel hobyo
247,Yaan,NG,77.47,overcast clouds,7.3833,8.5667,
248,Buckeye,US,87.69,clear sky,33.3703,-112.5838,"Buckeye Motor Hotel - ROOMS AVAILABLE, CALL FOR RESERVATION"
249,El Rusio,HN,73.11,scattered clouds,14.4667,-86.3667,
254,Siva,EG,70.75,few clouds,29.2041,25.5195,Qasr Alzaytuna Inn
256,Aripuana,BR,74.43,clear sky,-9.1667,-60.6333,
257,Makakilo City,US,82.72,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
261,Kahului,US,82.42,broken clouds,20.8947,-156.47,Maui Seaside Hotel
269,Touros,BR,76.1,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
271,Kavaratti,IN,84.09,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
272,Aloleng,PH,85.37,clear sky,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
280,Sur,OM,84.25,clear sky,22.5667,59.5289,Sur Plaza Hotel
283,Alyangula,AU,78.67,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
284,Dawei,MM,83.44,broken clouds,14.0833,98.2,Hotel Dawei
285,Bandarbeyla,SO,81.23,broken clouds,9.4942,50.8122,JABIR HOTEL
288,Mopti,ML,88.29,overcast clouds,14.6667,-4.0,
289,Panguna,PG,81.37,light rain,-6.3164,155.4848,
290,Alofi,NU,78.94,light rain,-19.0595,-169.9187,Taloa Heights
293,Japura,ID,77.77,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
294,Tecoanapa,MX,81.48,clear sky,16.5167,-98.75,Hotel Manglares
295,Parambu,BR,70.75,overcast clouds,-6.2111,-40.6944,Recanto das Amoras
298,Ranong,TH,82.81,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
300,Savannah Bight,HN,81.48,clear sky,16.45,-85.85,Villa on Dunbar Rock
302,Jiwani,PK,80.28,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
308,Aracati,BR,77.29,overcast clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
309,Bilma,NE,88.52,clear sky,18.6853,12.9164,Expeditions Ténére voyages
310,Kununurra,AU,85.98,broken clouds,-15.7667,128.7333,Hotel Kununurra
311,Miri,MY,79.84,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
314,Salinopolis,BR,78.35,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
317,Gamba,GA,77.18,overcast clouds,-2.65,10.0,
318,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
322,Thomasville,US,71.69,clear sky,35.8826,-80.082,Comfort Inn Thomasville I-85
329,Asyut,EG,71.76,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
